49.75,56.25,Первый канал
77.25,83.75 MHz,РЕН
183.25,189.75,Россия 1
91.25,197.75,ТНТ
207.25,213.75,СТС
223.25,229.75,Россия 24
479.25,485.75,ТВ3
503.25,509.75,Урал-Информ ТВ
519.25,525.75,7ТВ
535.25,541.75,Россия Культура
559.25,565.75,НТВ
583.25,589.75,ДТВ
599.25,605.75,Муз-ТВ
615.25,621.75,MTV
631.25,637.75,Домашний
679.25,685.75,RU.TV
703.25,709.75,ТВ Центр
719.25,725.75,Россия 2
